session_timestamp_ms,phase,airflow_raw,timestamp_ms
48947,relax,0,48947
48997,relax,1,48997
49049,relax,0,49049
49099,relax,1,49099
49150,relax,2,49150
49200,relax,5,49200
49251,relax,12,49251
49301,relax,24,49301
49353,relax,30,49353
49403,relax,39,49403
49454,relax,45,49454
49504,relax,55,49504
49555,relax,55,49555
49606,relax,63,49606
49657,relax,67,49657
49707,relax,70,49707
49758,relax,75,49758
49808,relax,77,49808
49860,relax,77,49860
49910,relax,76,49910
49961,relax,77,49961
50011,relax,74,50011
50062,relax,75,50062
50112,relax,73,50112
50164,relax,76,50164
50215,relax,72,50215
50265,relax,73,50265
50316,relax,72,50316
50366,relax,70,50366
50418,relax,70,50418
50468,relax,66,50468
50519,relax,64,50519
50569,relax,60,50569
50620,relax,57,50620
50671,relax,52,50671
50722,relax,47,50722
50772,relax,39,50772
50823,relax,36,50823
50873,relax,28,50873
50924,relax,23,50924
50975,relax,16,50975
51026,relax,11,51026
51076,relax,8,51076
51127,relax,4,51127
51177,relax,11,51177
51229,relax,1,51229
51279,relax,3,51279
51330,relax,2,51330
51380,relax,2,51380
51431,relax,2,51431
51482,relax,0,51482
51533,relax,0,51533
51583,relax,0,51583
51633,relax,0,51633
51684,relax,0,51684
51734,relax,0,51734
51786,relax,0,51786
51836,relax,0,51836
51887,relax,0,51887
51937,relax,0,51937
51988,relax,0,51988
52039,relax,0,52039
52089,relax,0,52089
52140,relax,0,52140
52190,relax,0,52190
52241,relax,0,52241
52292,relax,0,52292
52343,relax,0,52343
52393,relax,0,52393
52444,relax,0,52444
52494,relax,0,52494
52545,relax,0,52545
52596,relax,0,52596
52646,relax,0,52646
52697,relax,0,52697
52747,relax,0,52747
52798,relax,1,52798
52849,relax,1,52849
52900,relax,2,52900
52950,relax,3,52950
53001,relax,12,53001
53051,relax,17,53051
53103,relax,25,53103
53153,relax,30,53153
53204,relax,45,53204
53254,relax,41,53254
53305,relax,47,53305
53355,relax,53,53355
53407,relax,57,53407
53457,relax,66,53457
53508,relax,66,53508
53558,relax,74,53558
53609,relax,79,53609
53660,relax,87,53660
53711,relax,89,53711
53761,relax,91,53761
53812,relax,90,53812
53862,relax,89,53862
53914,relax,87,53914
53964,relax,90,53964
54015,relax,85,54015
54066,relax,83,54066
54116,relax,81,54116
54167,relax,78,54167
54218,relax,78,54218
54269,relax,78,54269
54319,relax,81,54319
54370,relax,78,54370
54420,relax,78,54420
54472,relax,71,54472
54522,relax,75,54522
54573,relax,71,54573
54623,relax,69,54623
54674,relax,64,54674
54725,relax,59,54725
54776,relax,56,54776
54826,relax,50,54826
54877,relax,54,54877
54927,relax,44,54927
54978,relax,41,54978
55029,relax,35,55029
55080,relax,33,55080
55130,relax,28,55130
55181,relax,25,55181
55231,relax,21,55231
