session_timestamp_ms,phase,gsr,ecg_raw
1971,relax,,1.598
1973,relax,,2.019
1976,relax,,2.229
1979,relax,,2.131
1981,relax,,1.818
1984,relax,,1.481
1987,relax,,1.334
1990,relax,,1.535
1992,relax,,1.945
1995,relax,,2.224
1998,relax,,2.219
2000,relax,,1.916
2003,relax,,1.54
2007,relax,,1.31
2009,relax,,1.408
2012,relax,,1.784
2015,relax,,2.131
2017,relax,,2.17
2020,relax,,1.935
2023,relax,,1.579
2026,relax,1.44,1.285
2028,relax,,1.305
2031,relax,,1.632
2034,relax,,2.053
2036,relax,,2.185
2039,relax,,1.984
2042,relax,,1.647
2044,relax,,1.329
2048,relax,,1.251
2051,relax,,1.53
2053,relax,,1.95
2056,relax,,2.18
2059,relax,,2.116
2062,relax,,1.784
2064,relax,,1.437
2067,relax,,1.3
2070,relax,,1.437
2072,relax,,1.852
2075,relax,,2.151
2078,relax,,2.141
2080,relax,,1.843
2083,relax,,1.486
2086,relax,,1.241
2088,relax,,1.344
2092,relax,,1.735
2095,relax,,2.063
2098,relax,,2.116
2100,relax,,1.882
2103,relax,,1.559
2106,relax,,1.251
2108,relax,,1.251
2111,relax,,1.579
2114,relax,,1.979
2116,relax,,2.121
2119,relax,,1.965
2122,relax,,1.623
2124,relax,,1.29
2127,relax,,1.188
2130,relax,,1.437
2132,relax,,1.857
2136,relax,,2.097
2139,relax,,2.019
2142,relax,,1.73
2144,relax,,1.403
2147,relax,,1.261
2150,relax,,1.471
2152,relax,,1.901
2155,relax,,2.239
2158,relax,,2.243
2160,relax,,1.979
2163,relax,,1.632
2166,relax,,1.427
2168,relax,,1.559
2171,relax,,1.975
2174,relax,,2.366
2178,relax,,2.444
2180,relax,,2.234
2183,relax,,1.896
2186,relax,,1.647
2188,relax,,1.696
2191,relax,,2.082
2194,relax,,2.502
2196,relax,,2.639
2199,relax,,2.498
2202,relax,,2.111
2204,relax,,1.774
2207,relax,,1.691
2210,relax,,1.955
2213,relax,,2.37
2215,relax,,2.571
2219,relax,,2.439
2222,relax,,2.107
2224,relax,,1.745
2227,relax,,1.574
2229,relax,1.24,
2230,relax,,1.769
2232,relax,,2.19
2235,relax,,2.498
2238,relax,,2.439
2240,relax,,2.146
2243,relax,,1.779
2246,relax,,1.544
2249,relax,,1.647
2251,relax,,2.048
2254,relax,,2.414
2257,relax,,2.449
2259,relax,,2.19
2263,relax,,1.828
2266,relax,,1.51
2268,relax,,1.505
2271,relax,,1.833
2274,relax,,2.248
2276,relax,,2.38
2279,relax,,2.209
2282,relax,,1.862
2284,relax,,1.54
2287,relax,,1.452
2290,relax,,1.73
2292,relax,,2.175
2295,relax,,2.414
2298,relax,,2.322
2301,relax,,2.004
2304,relax,,1.647
2307,relax,,1.471
2310,relax,,1.642
2312,relax,,2.043
2315,relax,,2.346
2318,relax,,2.317
2320,relax,,2.033
2323,relax,,1.667
2326,relax,,1.413
2328,relax,,1.496
2331,relax,,1.867
2334,relax,,2.234
2337,relax,,2.297
2339,relax,,2.082
2342,relax,,1.74
2345,relax,,1.461
2348,relax,,1.452
2351,relax,,1.799
2354,relax,,2.224
2356,relax,,2.385
2359,relax,,2.229
2362,relax,,1.877
2364,relax,,1.544
2367,relax,,1.437
2370,relax,,1.691
2373,relax,,2.111
2375,relax,,2.336
2378,relax,,2.229
2381,relax,,1.901
2383,relax,,1.569
2386,relax,,1.403
2390,relax,,1.593
2392,relax,,2.009
2395,relax,,2.322
2398,relax,,2.307
2400,relax,,2.033
2403,relax,,1.667
2406,relax,,1.413
2408,relax,,1.491
2411,relax,,1.877
2414,relax,,2.268
2417,relax,,2.351
2419,relax,,2.141
2422,relax,,1.784
2425,relax,,1.491
2427,relax,,1.476
2430,relax,,1.808
2432,relax,1.24,
2434,relax,,2.214
2436,relax,,2.37
2439,relax,,2.209
2442,relax,,1.857
2444,relax,,1.515
2447,relax,,1.403
2450,relax,,1.667
2453,relax,,2.107
2455,relax,,2.361
2458,relax,,2.273
2461,relax,,1.955
2463,relax,,1.588
2466,relax,,1.403
2469,relax,,1.559
2471,relax,,1.97
2475,relax,,2.302
2478,relax,,2.307
2480,relax,,2.038
2483,relax,,1.676
2486,relax,,1.422
2488,relax,,1.496
2491,relax,,1.872
2494,relax,,2.253
2497,relax,,2.336
2499,relax,,2.111
2502,relax,,1.745
2505,relax,,1.442
2507,relax,,1.442
2510,relax,,1.725
2513,relax,,2.141
2515,relax,,2.312
